Gene	PVALUE
C10orf67	0.0014
C10orf76	0.0013
C10orf82	0.0411
C10orf90	0.00602
C10orf91	0.014
C11orf16	0.00201
C11orf53	1.26E-04
C11orf74	1.88E-04
C11orf84	0.00503
C11orf87	0.046
C11orf96	0.00504
C11orf97	0.0441
C12orf42	0.0055
C12orf54	0.0147
C12orf74	1.69E-04
C12orf75	0.00164
C14orf132	0.035
C14orf159	0.00414
C14orf177	0.00868
C14orf80	2.43E-04
C15orf41	7.88E-04
C15orf48	0.00681
C15orf53	8.10E-04
C15orf54	0.00301
C15orf57	0.0189
C15orf59	0.0357
C16orf45	0.0422
C16orf46	0.0307
C16orf54	1.65E-09
C16orf62	0.016
C16orf72	0.00679
C16orf78	0.0429
C16orf95	0.00502
C16orf97	0.00498
C17orf102	0.00325
C17orf112	0.00512
C17orf77	0.0472
C17orf96	0.0269
C18orf32	0.0487
C18orf42	1.49E-04
C18orf54	2.29E-04
C18orf63	0.0455
C19orf12	0.0222
C19orf18	0.0383
C19orf44	0.00672
C19orf45	0.0183
C1D	0.0155
C1GALT1	0.00378
C1orf100	0.00863
C1orf101	0.0248
C1orf106	0.0249
C1orf112	5.54E-04
C1orf127	0.00643
C1orf132	0.049
C1orf168	0.0244
C1orf174	0.00521
C1orf21	7.34E-04
C1orf228	0.0419
C1orf52	2.99E-04
C1orf87	0.0113
C1orf94	0.00101
C1orf95	0.00238
C1QC	0.0283
C1QL2	0.00164
C1QL3	0.0274
C1QTNF1	0.0226
C1QTNF6	0.00411
C1RL	0.0242
C1S	0.0162
C20orf194	0.00752
C20orf196	0.00849
C20orf85	0.0188
C21orf62	0.00638
C22orf31	0.0111
C22orf42	0.0272
C2CD2	0.0316
C2CD3	0.0232
C2CD4A	0.00852
C2orf40	0.00985
C2orf47	0.00797
C2orf57	0.0277
C2orf61	0.0349
C2orf69	0.00799
C2orf73	0.0173
C2orf88	0.0338
C2orf91	0.0336
C3orf38	0.00227
C3orf56	0.0142
C3orf58	2.41E-04
C3orf70	0.00777
C3orf79	0.0201
C3orf80	0.0426
C4orf19	0.0351
C4orf22	0.0195
C4orf26	0.0208
C4orf32	0.0157
C4orf33	1.34E-05
C4orf45	0.0219
C4orf50	0.021
C4orf51	0.0191
C5orf15	0.0305
C5orf38	0.00325
C5orf45	0.0277
C5orf46	0.0213
C5orf47	0.0448
C5orf49	0.00905
C5orf56	0.0463
C5orf64	5.97E-04
C6orf10	9.70E-10
C6orf118	0.0165
C6orf15	2.63E-11
C6orf222	4.36E-04
C6orf223	0.00174
C6orf62	0.0206
C7orf26	0.035
C7orf33	0.0448
C7orf50	4.46E-04
C7orf66	0.00768
C8A	0.0204
C8orf34	0.00249
C8orf37	0.00364
C8orf37-AS1	0.00473
C8orf4	0.0191
C8orf48	0.00658
C8orf74	0.00332
C9	0.00542
C9orf47	0.029
C9orf72	0.0121
C9orf84	0.0351
C9orf92	0.00527
CA10	0.00402
CA14	0.0301
CA8	7.04E-04
CA9	0.0158
CAAP1	1.21E-04
CAB39	0.0255
CAB39L	0.0129
CABIN1	0.0284
CABLES1	0.00912
CABLES2	0.00572
CABP2	0.00718
CACHD1	0.0187
CACNA1A	0.00417
CACNA1B	0.00186
CACNA1C	8.70E-04
CACNA1D	2.64E-04
CACNA1E	1.29E-11
CACNA1I	0.00475
CACNA1S	0.0188
CACNA2D1	0.00121
CACNA2D2	0.00178
CACNA2D3	0.00308
CACNB2	0.00394
CACNB4	0.0359
CACNG2	0.00245
CACNG3	0.00495
CACNG6	0.00867
CACUL1	0.0359
CADM1	1.46E-07
CADM2	7.12E-04
CADPS2	0.0211
CALB1	0.0191
CALB2	0.0249
CALCOCO2	0.0145
CALCR	3.73E-04
CALCRL	3.99E-05
CALM2	0.0124
CALM3	0.0418
CALML3	0.00182
CALML4	0.00368
CALN1	0.00542
CALU	0.0163
CAMK1D	0.00173
CAMK2A	0.0038
CAMK2D	0.00849
CAMKMT	0.0103
CAMTA1	0.0154
CAND1	0.0124
CAP1	0.0483
CAP2	0.0073
CAPN1	0.0184
CAPN10	3.27E-04
CAPN14	0.0426
CAPN2	0.00131
CAPN8	0.0164
CAPN9	0.0181
CARD11	0.00199
CARD8	0.0117
CARS2	0.00109
CARTPT	0.00826
CASC15	0.00821
CASC16	0.0297
CASC5	0.0026
CASC8	0.00626
CASD1	0.00684
CASP12	0.0182
CASP16P	0.00109
CASP7	0.00603
CASP9	0.0488
CASQ2	0.00901
CASR	0.0238
CAT	0.0123
CATSPERB	0.0213
CAV1	0.0178
CBL	0.025
CBLB	0.0145
CBLC	0.00536
CBLN1	0.00884
CBLN2	0.0136
CBLN4	0.013
CBR3	0.0317
CBR4	0.00459
CBX6	0.00125
CC2D2A	0.0111
CC2D2B	0.00185
CCAR1	0.0278
CCBE1	0.0017
CCBL2	0.0436
CCDC102B	0.0175
CCDC107	0.0427
CCDC109B	0.0187
CCDC112	0.00714
CCDC113	0.00114
CCDC122	0.00152
CCDC129	1.52E-05
CCDC130	0.00982
CCDC14	0.022
CCDC144NL	0.0401
CCDC146	0.00273
CCDC148	0.00982
CCDC149	0.0223
CCDC15	0.0358
CCDC150	0.00723
CCDC158	0.0165
CCDC17	0.0286
CCDC170	0.014
CCDC171	0.00173
CCDC172	0.00301
CCDC174	0.042
CCDC179	0.00152
CCDC186	7.14E-04
CCDC190	3.53E-04
CCDC25	0.0205
CCDC3	0.0346
CCDC40	0.00753
CCDC47	0.0399
CCDC54	0.026
CCDC59	0.0203
CCDC66	0.018
CCDC67	0.00639
CCDC71L	0.0399
CCDC80	0.008
CCDC83	0.0066
CCDC85A	0.0316
CCDC88A	0.00163
CCDC88B	3.05E-04
CCDC88C	0.0115
CCDC90B	0.0228
CCDC91	2.67E-04
CCER1	0.0097
CCHCR1	1.25E-23
CCK	0.00647
CCKAR	0.00848
CCKBR	0.0343
CCL1	0.0199
CCL13	0.0265
CCL20	0.00173
CCL3	0.0394
CCNB1IP1	0.025
CCNB3P1	0.0244
CCND2	0.0139
CCNE2	0.0172
CCNG1	0.00928
CCNG2	0.00131
CCNH	0.00457
CCNT2	0.0217
CCNT2-AS1	0.00705
CCNY	0.00607
CCNYL2	0.0282
CCRL2	0.0147
CCSER1	8.14E-04
CCSER2	0.0111
CCT4	0.0183
CD109	1.33E-07
CD164	0.0403
CD180	0.00192
CD1D	0.0198
CD2	0.0256
CD200R1L	0.0367
CD207	0.0398
CD27	0.0226
CD274	0.00313
CD28	0.00774
CD34	0.00333
CD38	0.0132
CD4	0.0492
CD44	0.0068
CD47	0.0188
CD53	0.00489
CD69	0.0164
CD80	0.00555
CD82	0.00167
CD83	0.0268
CD8A	0.00222
CD8B	0.032
CD9	0.00751
CD96	0.0339
CDAN1	0.015
CDC123	0.0091
CDC14A	0.00676
CDC14B	0.0293
CDC20	0.0059
CDC25B	0.00176
CDC25C	0.0174
CDC42EP3	1.49E-04
CDC42P6	8.19E-04
CDC7	0.00494
CDC73	0.00122
CDCP1	0.0117
CDCP2	8.03E-04
CDH10	0.00808
CDH11	0.00742
CDH12	6.50E-04
CDH13	8.30E-05
CDH17	0.0455
CDH18	0.00106
CDH19	0.0106
CDH2	8.67E-04
CDH20	0.0196
CDH23	0.00938
CDH4	2.47E-04
CDH6	0.00986
CDH7	0.00466
CDH8	0.00304
CDH9	0.004
CDHR3	4.30E-05
CDIP1	0.0469
CDK10	8.13E-04
CDK14	0.0018
CDK18	0.0257
CDK20	1.72E-04
CDK5RAP2	5.10E-04
CDK6	0.013
CDK8	0.0034
CDKAL1	7.68E-04
CDKN1A	0.00354
CDKN2AIP	0.04
CDKN2AIPNL	2.56E-04
CDKN3	0.0322
CDO1	4.20E-05
CDON	0.00493
CDRT4	0.0396
CDRT7	0.00879
CDS1	0.0155
CDS2	0.0257
CDSN	0.00126
CDYL	0.0191
CDYL2	0.0182
CEBPB	1.53E-04
CECR2	0.00312
CECR3	0.0369
CECR5	0.00169
CECR7	0.00368
CELF2	0.0015
CELF4	1.86E-04
CELF5	0.0304
CELSR1	6.78E-04
CEMIP	0.0166
CENPA	0.0399
CENPC	0.0125
CENPF	0.00996
CENPM	0.0142
CENPN	0.00143
CEP112	0.00137
CEP120	0.00799
CEP126	0.00571
CEP128	0.0248
CEP135	6.23E-06
CEP162	0.0152
CEP19	0.0387
CEP250	0.00197
CEP295	0.0323
CEP350	3.18E-04
CEP55	0.0243
CEP70	0.0039
CEP83	0.0164
CEP89	0.0131
CERKL	0.0114
CERS2	1.81E-04
CERS3	0.00822
CERS6	0.0123
CES5A	0.00666
CETN1	0.00829
CETN3	0.0414
CFAP126	0.0299
CFAP161	0.0237
CFAP206	0.0132
CFAP54	0.0117
CFAP58	0.0146
CFAP61	0.00533
CFAP77	0.0172
CFB	0.0486
CFD	0.0011
CFDP1	0.0475
CFL1	0.00607
CFL2	0.0383
CGA	0.027
CGNL1	7.68E-04
CHAF1B	0.0398
CHAT	0.0487
CHCHD3	0.00216
CHCHD5	0.0397
CHCHD6	0.00621
CHD1L	0.0295
CHD5	0.0271
CHD6	0.0406
CHD7	0.0335
CHD9	0.0476
CHEK2	0.0209
CHI3L2	0.00516
CHIA	0.0163
CHL1	3.83E-05
CHN2	3.18E-04
CHODL	0.0363
CHODL-AS1	0.0052
CHP1	0.0378
CHRDL2	0.00583
CHRM3	0.00933
CHRNA1	0.00812
CHRNA2	0.00984
CHRNA3	0.00276
CHRNA5	0.0312
CHRND	0.0138
CHST11	0.00148
CHST15	5.99E-04
CHST3	0.0202
CHST8	0.0067
CHST9	1.24E-04
CHSY3	1.77E-05
CIB2	0.0166
CICP8	3.26E-04
CIITA	0.0437
CINP	0.0393
CISD1	0.0316
CISD3	0.00222
CISH	0.0073
CIT	0.0135
CLASP2	0.0154
CLCA1	0.0109
CLCC1	0.0294
CLCN1	0.0197
CLCNKB	0.00253
CLDN1	0.0418
CLDN14	0.0333
CLDN17	1.26E-04
CLDN18	0.0298
CLDN23	0.00571
CLDN24	0.00183
CLEC12B	0.0429
CLEC16A	0.0172
CLEC19A	0.037
CLEC2D	0.0301
CLEC3A	0.0331
CLEC4E	0.00216
CLIC4	0.00859
CLIC5	0.0382
CLIC6	0.0153
CLINT1	0.0026
CLIP1	4.92E-04
CLIP4	0.00255
CLLU1	0.00444
CLMN	0.0141
CLMP	8.97E-04
CLN6	0.00314
CLNK	0.0248
CLPB	0.0329
CLRN2	0.00143
CLRN3	0.0049
CLSTN2	7.51E-04
CLSTN3	0.0328
CLVS1	0.00718
CLVS2	0.0107
CLYBL	0.00842
CMAS	0.0187
CMBL	0.0442
CMC1	5.75E-04
CMC2	0.00283
CMIP	0.00304
CMKLR1	4.79E-04
CMPK1	0.0487
CMPK2	0.0431
CMTM7	0.0482
CMTM8	1.95E-04
CMTR1	0.00831
CMYA5	7.76E-04
CNFN	0.00853
CNGA3	0.00567
CNGB3	0.00502
CNIH3	0.003
CNKSR3	0.0427
CNOT1	0.0013
CNOT6	8.91E-10
CNOT6L	0.0123
CNPY1	0.0165
CNR1	2.03E-04
CNTLN	0.00983
CNTN1	1.16E-04
CNTN2	0.0245
CNTN3	6.21E-04
CNTN4	1.42E-05
CNTN5	1.13E-05
CNTN6	5.59E-08
CNTNAP2	1.73E-04
CNTNAP4	0.00436
CNTNAP5	9.66E-05
CNTRL	0.0027
CNTROB	0.0083
COBL	2.17E-04
COG2	0.00541
COG3	0.027
COG5	0.0272
COG6	0.0195
COL11A1	0.0456
COL11A2	0.00114
COL12A1	8.58E-04
COL13A1	0.0253
COL14A1	0.00708
COL16A1	0.00162
COL18A1	0.0268
COL19A1	0.00116
COL1A2	0.00429
COL20A1	0.00622
COL21A1	0.00174
COL22A1	7.05E-05
COL23A1	0.00509
COL24A1	0.0389
COL25A1	0.00643
COL26A1	0.00138
COL27A1	0.0179
COL28A1	0.00362
COL4A1	0.0174
COL4A2	4.67E-04
COL4A2-AS2	0.0306
COL4A3	0.044
COL5A1	0.00163
COL6A1	0.0084
COL6A3	0.0461
COL6A4P1	0.0154
COL8A1	4.42E-04
COLEC11	0.0208
COMMD10	0.0065
COMMD9	0.0168
COPRS	3.37E-04
CORO2B	0.002
COTL1	0.0254
COX10	0.00776
COX15	0.0376
COX18	0.0034
COX4I1	0.0112
COX7A2L	0.0241
COX7B2	0.0434
COX7C	0.0407
CPA4	0.0381
CPA6	4.25E-04
CPB1	0.0449
CPE	6.19E-05
CPEB2	0.0408
CPEB2-AS1	0.0296
CPEB3	0.0193
CPEB4	0.0344
CPED1	0.0364
CPLX2	0.00273
CPLX4	0.00244
CPNE4	0.00189
CPNE5	0.0462
CPNE8	0.0136
CPPED1	4.32E-05
CPS1	0.00268
CPSF2	1.54E-04
CPSF6	2.17E-04
CPT1A	0.0268
CPT2	0.0269
CPVL	2.36E-04
CPXM1	0.0475
CPXM2	0.0229
CRABP1	0.0342
CRACR2A	0.00124
CRADD	0.0428
CRB1	0.0174
CRB2	0.0381
CRBN	0.00399
CREB3L2	0.0451
CREB5	0.016
CREBL2	0.0103
CREM	1.23E-04
CRHR1	0.0404
CRIM1	0.002
CRISP2	0.0226
CRISP3	0.0292
CRISPLD1	0.00493
CRISPLD2	0.00919
CRMP1	0.0266
CRNDE	0.0292
CRTAC1	0.00507
CRTC1	0.0125
CRX	0.0103
CRY2	0.00679
CRYBB3	0.0205
CRYL1	0.0192
CSF1R	0.0163
CSF2	6.07E-04
CSF2RB	0.00352
CSF3	0.00186
CSF3R	0.00428
CSGALNACT1	3.57E-04
CSGALNACT2	7.24E-04
CSMD1	6.67E-04
CSMD2	0.00822
CSMD3	1.76E-06
CSN3	0.00457
CSNK1G3	0.00459
CSNK2B	3.01E-04
CSRNP2	0.0137
CSRNP3	0.0224
CSRP1	0.0275
CSRP2BP	0.00832
CST1	0.0024
CST5	0.00688
CST7	0.0236
CST8	0.00225
CSTL1	0.0459
CTAGE1	0.0156
CTAGE11P	0.00496
CTAGE7P	0.0262
CTBP1	0.00643
CTBP1-AS2	0.00476
CTBP2	0.0353
CTDP1	0.0175
CTH	0.03
CTIF	0.00119
CTLA4	3.62E-04
CTNNA1	0.00762
CTNNA2	1.34E-05
CTNNA3	1.65E-04
CTNNB1	1.24E-04
CTNNBL1	0.0047
CTNND2	3.64E-05
CTPS1	0.0195
CTR9	0.00184
CTSB	0.0304
CTSG	0.0435
CTSS	0.0426
CTTNBP2NL	0.0433
CTXN3	0.00326
CUBN	0.011
CUEDC1	0.00106
CUEDC2	0.033
CUL2	6.49E-05
CWC22	0.00681
CWC27	0.00177
CWF19L2	0.0152
CXADR	0.00404
CXCL12	0.00491
CXCL6	0.0204
CXXC4	6.53E-05
CXXC5	0.0484
CYB5A	0.00277
CYB5B	0.0132
CYB5D2	0.00692
CYB5R1	0.036
CYB5R2	0.00924
CYBA	0.00119
CYFIP1	0.0137
CYGB	0.0378
CYLC2	0.00157
CYLD	6.21E-04
CYMP	0.0498
CYP26B1	0.0157
CYP27C1	0.0301
CYP2C8	0.0303
CYP2C9	0.0177
CYP2F1	0.0134
CYP39A1	0.0107
CYP46A1	0.0333
CYP4B1	0.00399
CYP4F11	0.00527
CYP4F12	0.00494
CYP4F2	0.0112
CYP4F3	1.11E-05
CYP4F8	8.16E-04
CYP4X1	0.0334
CYP7A1	0.00352
CYSLTR2	0.0456
CYTH3	0.0193
CYYR1	5.82E-04
DAAM1	0.0225
DAAM2	4.73E-04
DAB1	0.00835
